Puntaje obtenido	Número de movimientos	Número de Singletons Finales	Jugada con mayor puntaje	Solución+(secuencia de Jugadas)	Matriz
					3  4  2  1  2  5  5  2  1  5  1  3  1  1  4  
					2  3  3  2  4  3  1  1  1  5  3  3  2  5  3  
					1  2  4  4  2  5  4  1  4  4  1  3  1  2  3  
					1  1  2  5  5  4  4  3  3  2  5  4  2  3  1  
					4  2  5  1  4  5  4  1  3  3  4  4  4  1  5  
					1  1  2  3  4  1  4  5  3  5  1  5  5  3  5  
					4  5  3  4  2  1  2  5  3  5  4  1  5  1  2  
					

616	56	40	90	[0,8][0,2][13,9][13,9][4,6][4,10][10,8][4,4][7,0][10,7][6,2][12,3][12,7][11,13][12,4][3,12][4,5][12,2][11,3][10,6][12,8][12,8][7,2][4,13][8,9][8,9][12,3][9,1][10,2][11,3][4,12][12,9][13,5][6,10][13,4][14,10][6,13][9,11][6,11][13,2][13,12][14,10][12,10][14,12][9,14][14,4][7,2][14,12][14,11][12,14][14,12][12,13][13,13][14,11][14,3][14,14]	1  4  4  4  5  3  1  1  1  2  1  2  3  2  3  
					3  2  4  1  4  4  2  4  5  3  5  5  3  2  5  
					3  2  2  4  2  4  4  1  5  3  1  3  4  2  1  
					4  1  5  2  2  1  3  2  2  5  3  2  2  2  4  
					2  1  4  5  1  3  3  4  1  5  4  4  3  5  2  
					1  1  2  3  4  5  3  2  5  2  1  4  1  5  3  
					2  1  1  1  1  4  2  5  3  2  3  2  3  1  2  
					2  1  1  4  5  5  1  3  4  3  4  1  4  2  4  
					2  3  4  3  4  1  5  4  3  4  4  5  3  1  3  
					4  4  5  3  4  5  4  5  4  2  1  4  5  5  2  
					2  4  2  4  5  1  4  4  5  2  5  2  3  2  4  
					4  5  1  5  3  2  4  2  2  4  4  4  3  3  1  
					5  1  4  4  1  3  5  3  5  2  1  3  2  5  2  
					3  1  2  3  1  4  5  2  3  3  2  5  4  1  3  
					2  2  2  3  2  5  4  2  3  2  4  1  4  2  5  
					

932	59	22	272	[7,1][4,9][10,3][12,9][10,11][2,8][8,5][14,4][11,12][3,12][11,10][7,4][12,10][7,3][12,9][12,13][13,0][8,6][14,12][10,9][8,11][5,0][14,8][10,4][14,7][10,11][12,8][10,5][14,7][8,4][12,3][14,5][10,13][12,7][13,9][12,12][14,13][13,2][13,1][9,3][11,10][13,2][12,13][13,3][12,2][13,8][13,7][12,13][13,7][12,2][13,3][13,9][10,14][14,10][14,5][14,10][14,3][14,10][10,14]	5  2  5  4  5  4  5  3  2  5  2  5  3  1  1  
					5  5  3  2  3  4  1  5  5  3  1  3  2  3  2  
					3  1  1  3  2  3  4  4  4  1  1  4  3  5  1  
					4  5  3  3  2  4  4  2  5  2  4  4  3  2  5  
					1  1  2  5  3  3  3  1  4  1  1  4  5  4  1  
					3  3  3  5  3  4  5  5  1  5  5  5  1  3  5  
					5  3  2  2  3  2  4  1  5  3  2  2  5  3  4  
					1  1  3  4  1  5  3  3  3  5  5  5  4  5  3  
					1  3  2  1  2  1  3  2  1  5  5  3  4  1  5  
					2  4  5  4  1  1  2  2  1  1  1  4  1  5  2  
					1  4  5  4  3  3  4  2  4  4  4  5  3  3  3  
					1  5  1  3  3  2  5  2  1  3  5  5  5  4  5  
					1  3  4  4  3  1  2  2  5  5  1  1  3  5  5  
					5  2  1  4  1  5  2  4  3  4  1  1  5  3  2  
					5  2  2  4  1  1  2  5  3  1  5  4  5  1  4  
					

704	55	36	182	[13,6][0,13][11,4][10,5][4,2][8,3][12,9][12,13][12,11][8,4][3,7][10,4][6,7][6,5][12,11][9,13][7,2][9,7][9,0][12,4][6,14][14,4][13,13][11,3][10,12][8,10][11,7][8,0][8,10][6,8][12,1][13,11][10,6][8,14][14,12][14,5][12,5][13,14][14,4][11,3][14,14][12,14][12,10][14,6][14,13][14,11][14,7][11,3][14,12][14,12][13,4][13,4][13,4][6,10][14,4]	3  5  2  1  4  1  2  3  1  4  5  2  2  4  3  
					2  3  3  2  4  1  3  5  5  3  1  1  3  4  4  
					4  1  2  3  2  4  3  5  2  1  1  4  5  2  1  
					3  3  5  3  3  4  2  4  4  4  2  5  3  3  4  
					2  4  3  3  1  5  3  5  5  1  3  5  3  1  2  
					2  2  5  2  1  2  1  2  3  2  3  1  1  4  1  
					1  2  1  1  4  1  4  3  4  1  4  1  4  5  1  
					1  5  1  1  2  2  3  2  1  4  3  1  3  4  2  
					3  1  4  4  5  3  2  4  4  3  2  1  1  4  1  
					3  3  3  3  5  3  1  4  3  5  3  4  1  1  5  
					5  2  1  2  1  3  4  4  1  4  1  4  2  5  1  
					2  2  2  1  4  5  1  3  2  2  4  1  1  1  3  
					4  2  5  1  4  2  4  1  2  2  1  5  3  3  2  
					2  1  1  4  1  3  4  4  3  5  4  5  5  1  5  
					1  4  2  3  2  2  2  1  1  2  4  5  2  3  2  
					

